Date,Close,Open,High,Low,Volume,Unnamed: 6
2025-01-01,117008.08,115258.12,117341.03,114719.89,465170000.0,
2025-01-02,117119.66,117150.31,118367.81,116857.61,383720000.0,
2025-01-03,117586.98,117484.9,117891.62,115580.02,398070000.0,
2025-01-06,116255.13,118309.5,118735.1,115941.95,369830000.0,
2025-01-07,116052.68,116667.55,116843.41,113677.5,401230000.0,
2025-01-08,114148.46,116591.08,117750.23,113847.04,254280000.0,
2025-01-09,112638.26,114313.0,114329.95,112594.67,268880000.0,
2025-01-10,113247.29,112544.62,113554.07,112013.59,216220000.0,
2025-01-13,114230.06,113715.5,114496.09,113083.86,198490000.0,
2025-01-14,114804.17,114541.46,115044.79,113836.61,258820000.0,
2025-01-15,114495.71,115360.64,115773.39,114298.29,263600000.00000003,
2025-01-16,113836.74,114800.98,114884.63,113630.45,176920000.0,
2025-01-17,115272.08,114060.38,115356.12,113571.96,212260000.0,
2025-01-20,115844.82,115868.94,116276.42,115668.08,268339999.99999997,
2025-01-21,115042.25,116320.3,116424.85,114783.72,338090000.0,
2025-01-22,113443.43,114996.26,115256.16,113359.38,358350000.0,
2025-01-23,114037.79,113580.21,114319.62,113234.31,374090000.0,
2025-01-24,114880.49,114407.66,115779.06,114383.17,280360000.0,
2025-01-27,113520.32,115075.86,115596.87,113482.23,231200000.0,
2025-01-28,112030.36,113398.28,113644.72,111434.95,211430000.0,
2025-01-29,111487.36,112274.42,112569.9,111157.19,201920000.0,
2025-01-30,113206.4,111805.66,113400.57,111805.66,172240000.0,
2025-01-31,114255.73,113745.99,115106.99,113692.87,250680000.0,
2025-02-03,112745.01,114550.59,114620.79,112681.34,165870000.0,
2025-02-04,111935.38,113091.72,113649.08,111828.11,170650000.0,
2025-02-06,110301.16,112053.96,112234.15,109405.54,174300000.0,
2025-02-07,110322.94,110575.28,110905.09,109686.53,129190000.0,
2025-02-10,111377.97,110610.81,111622.72,109948.57,193050000.0,
2025-02-11,113010.38,111834.21,113233.41,111834.21,244300000.0,
2025-02-12,112924.94,113302.68,113436.72,112621.14,399900000.0,
2025-02-13,112564.08,113023.24,113477.71,112540.12,289290000.0,
2025-02-14,112085.3,113070.07,113482.13,111861.56,238580000.0,
2025-02-17,111743.53,112283.82,112524.81,111513.67,295850000.0,
2025-02-18,113088.48,112023.31,113252.55,111642.02,348500000.0,
2025-02-19,113342.44,113465.7,114029.76,113060.26,461110000.0,
2025-02-20,113739.16,113601.96,114202.14,113525.9,507750000.0,
